,,,,,
,Date,Axis Month,Axis Day,Temperature,Shade Month
,1/1/2020,,,29.8,
,1/2/2020,,,29.7,
,1/3/2020,,,29.6,
,1/4/2020,,,29.8,
,1/5/2020,,,30.3,
,1/6/2020,,,29.4,
,1/7/2020,,,30.2,
,1/8/2020,,,30.5,
,1/9/2020,,,30.1,
,1/10/2020,,,30.6,
,1/11/2020,,,30.5,
,1/12/2020,,,27.1,
,1/13/2020,,,26.9,
,1/14/2020,,,28.3,
,1/15/2020,,,29.1,
,1/16/2020,,,28.8,
,1/17/2020,,,29.5,
,1/18/2020,,,27.8,
,1/19/2020,,,30.1,
,1/20/2020,,,30.9,
,1/21/2020,,,31.6,
,1/22/2020,,,30,
,1/23/2020,,,29,
,1/24/2020,,,30.3,
,1/25/2020,,,30.3,
,1/26/2020,,,30.3,
,1/27/2020,,,29.2,
,1/28/2020,,,30.2,
,1/29/2020,,,30.8,
,1/30/2020,,,29.8,
,1/31/2020,,,30,
,2/1/2020,,,30.4,
,2/2/2020,,,30.7,
,2/3/2020,,,36.3,
,2/4/2020,,,27.9,
,2/5/2020,,,25.8,
,2/6/2020,,,26.5,
,2/7/2020,,,28.1,
,2/8/2020,,,28.8,
,2/9/2020,,,28.7,
,2/10/2020,,,28.7,
,2/11/2020,,,28.8,
,2/12/2020,,,28.4,
,2/13/2020,,,27.5,
,2/14/2020,,,28.4,
,2/15/2020,,,30.3,
,2/16/2020,,,30.5,
,2/17/2020,,,30.3,
,2/18/2020,,,30.3,
,2/19/2020,,,32.6,
,2/20/2020,,,31.4,
,2/21/2020,,,30.4,
,2/22/2020,,,28.7,
,2/23/2020,,,28.6,
,2/24/2020,,,26.4,
,2/25/2020,,,25.3,
,2/26/2020,,,28.9,
,2/27/2020,,,29.1,
,2/28/2020,,,29.3,
,2/29/2020,,,28.6,
,3/1/2020,,,29.1,
,3/2/2020,,,30,
,3/3/2020,,,29.8,
,3/5/2020,,,30.3,
,3/6/2020,,,29.7,
,3/7/2020,,,29.1,
,3/8/2020,,,26,
,3/9/2020,,,24.4,
,3/10/2020,,,26.7,
,3/11/2020,,,26.6,
,3/12/2020,,,26.1,
,3/13/2020,,,26.4,
,3/14/2020,,,24.5,
,3/15/2020,,,26.7,
,3/16/2020,,,26.4,
,3/17/2020,,,26.1,
,3/18/2020,,,25.7,
,3/19/2020,,,26.4,
,3/20/2020,,,27.1,
,3/21/2020,,,29.1,
,3/22/2020,,,28.3,
,3/23/2020,,,28.3,
,3/24/2020,,,25.3,
,3/25/2020,,,26.4,
,3/26/2020,,,26.9,
,3/27/2020,,,26.6,
,3/28/2020,,,26.4,
,3/29/2020,,,26.5,
,3/30/2020,,,27.3,
,3/31/2020,,,28.9,
,4/1/2020,,,28,
,4/2/2020,,,27.8,
,4/3/2020,,,28,
,4/4/2020,,,30.7,
,4/5/2020,,,28.6,
,4/6/2020,,,26.9,
,4/8/2020,,,24.7,
,4/9/2020,,,25.9,
,4/10/2020,,,24.8,
,4/11/2020,,,30.7,
,4/12/2020,,,27.4,
,4/13/2020,,,26.1,
,4/14/2020,,,26.5,
,4/15/2020,,,26.3,
,4/16/2020,,,26.5,
,4/17/2020,,,32,
,4/18/2020,,,30.4,
,4/19/2020,,,23.4,
,4/20/2020,,,26.2,
,4/21/2020,,,26,
,4/22/2020,,,27.9,
,4/23/2020,,,26.9,
,4/24/2020,,,26.9,
,4/25/2020,,,26.9,
,4/26/2020,,,26.3,
,4/27/2020,,,26,
,4/28/2020,,,27,
,4/29/2020,,,26.1,
,4/30/2020,,,27.9,
,5/1/2020,,,23.7,
,5/2/2020,,,23.5,
,5/3/2020,,,24.8,
,5/4/2020,,,23,
,5/5/2020,,,23.2,
,5/6/2020,,,24.1,
,5/7/2020,,,24.2,
,5/8/2020,,,24.3,
,5/9/2020,,,25.4,
,5/10/2020,,,25.5,
,5/11/2020,,,22.9,
,5/12/2020,,,23,
,5/13/2020,,,23.2,
,5/14/2020,,,23.9,
,5/15/2020,,,22.9,
,5/16/2020,,,23.8,
,5/17/2020,,,22.8,
,5/18/2020,,,23.8,
,5/19/2020,,,23.8,
,5/20/2020,,,22.5,
,5/21/2020,,,21.7,
,5/22/2020,,,17.9,
,5/23/2020,,,14.7,
,5/24/2020,,,19.8,
,5/25/2020,,,22.6,
,5/26/2020,,,22.8,
,5/27/2020,,,22.2,
,5/28/2020,,,22.9,
,5/29/2020,,,23.7,
,5/30/2020,,,23.4,
,5/31/2020,,,22.6,
,6/1/2020,,,23.6,
,6/2/2020,,,20.8,
,6/3/2020,,,21,
,6/4/2020,,,20.9,
,6/5/2020,,,21.2,
,6/6/2020,,,22.1,
,6/7/2020,,,21.9,
,6/8/2020,,,22.7,
,6/9/2020,,,22.2,
,6/10/2020,,,21.9,
,6/11/2020,,,23.1,
,6/12/2020,,,22.8,
,6/13/2020,,,23.1,
,6/14/2020,,,25.2,
,6/15/2020,,,23,
,6/16/2020,,,22.3,
,6/17/2020,,,23,
,6/18/2020,,,23.2,
,6/19/2020,,,19.8,
,6/20/2020,,,20.2,
,6/21/2020,,,21.3,
,6/22/2020,,,22,
,6/23/2020,,,19.9,
,6/24/2020,,,20.7,
,6/25/2020,,,19.8,
,6/26/2020,,,20.7,
,6/27/2020,,,21.1,
,6/28/2020,,,17,
,6/29/2020,,,20.1,
,6/30/2020,,,20.3,
,7/1/2020,,,20.3,
,7/2/2020,,,21.4,
,7/3/2020,,,24.1,
,7/4/2020,,,20.4,
,7/5/2020,,,19.4,
,7/6/2020,,,20.4,
,7/7/2020,,,20.9,
,7/8/2020,,,21.2,
,7/9/2020,,,20.3,
,7/10/2020,,,21,
,7/11/2020,,,21.8,
,7/12/2020,,,24.3,
,7/13/2020,,,21.3,
,7/15/2020,,,21.3,
,7/16/2020,,,20.8,
,7/17/2020,,,20,
,7/18/2020,,,20.4,
,7/19/2020,,,21.6,
,7/20/2020,,,24.1,
,7/21/2020,,,20.8,
,7/22/2020,,,17.2,
,7/23/2020,,,16.5,
,7/24/2020,,,19.9,
,7/25/2020,,,20.3,
,7/26/2020,,,24.2,
,7/27/2020,,,20.1,
,7/28/2020,,,19.6,
,7/29/2020,,,20.6,
,7/30/2020,,,21.2,
,7/31/2020,,,20.7,
,8/1/2020,,,19.5,
,8/2/2020,,,20.9,
,8/3/2020,,,20.1,
,8/4/2020,,,22.6,
,8/5/2020,,,26.3,
,8/6/2020,,,24.1,
,8/7/2020,,,21.9,
,8/8/2020,,,25.3,
,8/9/2020,,,20.1,
,8/10/2020,,,19,
,8/11/2020,,,20.6,
,8/12/2020,,,21.8,
,8/13/2020,,,25.9,
,8/14/2020,,,23.8,
,8/15/2020,,,28,
,8/16/2020,,,23.2,
,8/17/2020,,,22.7,
,8/18/2020,,,23.4,
,8/19/2020,,,29.8,
,8/20/2020,,,24.3,
,8/21/2020,,,24.7,
,8/22/2020,,,24.4,
,8/23/2020,,,21.4,
,8/24/2020,,,22.6,
,8/25/2020,,,21.3,
,8/26/2020,,,20.3,
,8/27/2020,,,21.4,
,8/28/2020,,,23.2,
,8/29/2020,,,21.8,
,8/30/2020,,,22.2,
,8/31/2020,,,22.9,
,9/1/2020,,,23.2,
,9/2/2020,,,24.3,
,9/3/2020,,,24.5,
,9/4/2020,,,24.3,
,9/5/2020,,,24.3,
,9/6/2020,,,23.8,
,9/7/2020,,,21.1,
,9/8/2020,,,22.5,
,9/9/2020,,,22.4,
,9/10/2020,,,22.4,
,9/11/2020,,,20.7,
,9/12/2020,,,22.1,
,9/13/2020,,,22.4,
,9/14/2020,,,23.3,
,9/15/2020,,,23.4,
,9/16/2020,,,23.3,
,9/17/2020,,,23.6,
,9/18/2020,,,24.4,
,9/19/2020,,,24.4,
,9/20/2020,,,25,
,9/21/2020,,,28.6,
,9/22/2020,,,29.5,
,9/23/2020,,,25.1,
,9/24/2020,,,25.2,
,9/25/2020,,,26.6,
,9/26/2020,,,26.3,
,9/27/2020,,,21.9,
,9/28/2020,,,22.2,
,9/29/2020,,,22.3,
,9/30/2020,,,23.8,
,10/1/2020,,,25.6,
,10/2/2020,,,25.5,
,10/3/2020,,,25.4,
,10/4/2020,,,24.6,
,10/5/2020,,,25.2,
,10/6/2020,,,25.4,
,10/7/2020,,,25.6,
,10/8/2020,,,25.1,
,10/9/2020,,,26.8,
,10/10/2020,,,25.5,
,10/11/2020,,,25.9,
,10/12/2020,,,25.1,
,10/13/2020,,,25.4,
,10/14/2020,,,25.6,
,10/15/2020,,,25.2,
,10/16/2020,,,25.7,
,10/17/2020,,,25.8,
,10/18/2020,,,26.4,
,10/19/2020,,,26.7,
,10/20/2020,,,25.4,
,10/21/2020,,,24.8,
,10/22/2020,,,25.9,
,10/23/2020,,,26.5,
,10/24/2020,,,25.8,
,10/25/2020,,,29.3,
,10/26/2020,,,27.3,
,10/27/2020,,,24.9,
,10/28/2020,,,25.9,
,10/29/2020,,,26.4,
,10/30/2020,,,28.4,
,10/31/2020,,,29.2,
,11/1/2020,,,27.4,
,11/2/2020,,,25.1,
,11/3/2020,,,25.1,
,11/4/2020,,,27,
,11/5/2020,,,31.8,
,11/6/2020,,,25.4,
,11/7/2020,,,25.9,
,11/8/2020,,,22.9,
,11/9/2020,,,23.9,
,11/10/2020,,,24.9,
,11/11/2020,,,25.5,
,11/12/2020,,,26.8,
,11/13/2020,,,27.9,
,11/14/2020,,,32.8,
,11/15/2020,,,28,
,11/16/2020,,,29.9,
,11/17/2020,,,31.8,
,11/18/2020,,,25.4,
,11/19/2020,,,26.9,
,11/20/2020,,,26.8,
,11/21/2020,,,27.4,
,11/22/2020,,,27.5,
,11/23/2020,,,28,
,11/24/2020,,,30.3,
,11/25/2020,,,26.2,
,11/26/2020,,,27.7,
,11/27/2020,,,27.8,
,11/28/2020,,,27.8,
,11/29/2020,,,28.7,
,11/30/2020,,,28.4,
,12/1/2020,,,28.5,
,12/2/2020,,,30,
,12/3/2020,,,29.2,
,12/4/2020,,,29.8,
,12/5/2020,,,29.6,
,12/6/2020,,,33,
,12/7/2020,,,33.1,
,12/8/2020,,,31.1,
,12/9/2020,,,27.5,
,12/10/2020,,,27.6,
,12/11/2020,,,27.2,
,12/12/2020,,,24.6,
,12/13/2020,,,23.8,
,12/14/2020,,,27,
,12/15/2020,,,28.3,
,12/16/2020,,,28.3,
,12/17/2020,,,29,
,12/18/2020,,,29.2,
,12/19/2020,,,29.1,
,12/20/2020,,,29.1,
,12/21/2020,,,29.2,
,12/22/2020,,,31.8,
,12/23/2020,,,30.3,
,12/24/2020,,,27.7,
,12/25/2020,,,27.7,
,12/26/2020,,,27.4,
,12/27/2020,,,28.3,
,12/28/2020,,,29.1,
,12/29/2020,,,28.7,
,12/30/2020,,,24.5,
,12/31/2020,,,26.6,